species,state,location,pop,fishno,day,month,year,length_cm,folder,picname,cal,photoshop,included
melanochir,NSW,EDEN,ED,E18,25,7,2019,27.2,ME,E18_Ha6489,189,N,
NA,NSW,EDEN,ED,E19,25,7,2019,26.3,,E19_Ha6490,189,N,N
australis,NSW,EDEN,ED,E20,25,7,2019,32.2,AU,E20_Ha6491,189,N,
australis,NSW,EDEN,ED,E31,17,5,2018,27.6,AU,E31,189,Y,
australis,NSW,EDEN,ED,E32,17,5,2018,24.3,AU,E32,189,Y,
melanochir,NSW,EDEN,ED,E33,17,5,2018,21.9,ME,E33,189,Y,
australis,NSW,EDEN,ED,E34,17,5,2018,24.7,AU,E34,189,N,
australis,NSW,EDEN,ED,E35,17,5,2018,25.5,AU,E35,189,N,
australis,NSW,EDEN,ED,E36,17,5,2018,25.6,AU,E36,189,N,
melanochir,NSW,EDEN,ED,E37,17,5,2018,23.8,ME,E37,189,N,
NA,NSW,EDEN,ED,E38,17,5,2018,24.1,,E38,189,N,N
australis,NSW,EDEN,ED,E39,17,5,2018,24.6,AU,E39,189,N,
australis,NSW,EDEN,ED,E40,17,5,2018,18.3,AU,E40,189,Y,
NA,NSW,EDEN,ED,E41,26,7,2019,23.3,,E41,189,N,N
melanochir,NSW,EDEN,ED,E42,26,7,2019,23.6,ME,E42,189,N,
australis,NSW,EDEN,ED,E43,26,7,2019,25.6,AU,E43,189,N,
melanochir,NSW,EDEN,ED,E44,26,7,2019,26.8,ME,E44,189,Y,
melanochir,NSW,EDEN,ED,E45,26,7,2019,26.1,ME,E45,189,N,
